11582.87,20,6,2
4294.88,20,6,2
14341.19,20,6,2
9610.17,20,6,2
13392.34,20,6,2
2154.94,20,6,2
13762.4,20,6,2
3689.12,20,6,2
10976.8,20,6,2
2692.46,20,6,2
8899.66,20,6,2
11348.77,20,6,2
9502.38,20,6,2
15903.38,20,6,2
5364.08,20,6,2
6928.36,20,6,2
5427.15,20,6,2
8420.79,20,5,1
2603.44,19,5,1
8079.21,19,5,1
12185.15,18,5,1
15499.77,20,5,1
5907.8,19,5,1
4128.14,18,5,1
14206.57,18,5,1
5509.84,20,5,1
6094.57,17,5,1
3995.09,17,5,1
543.09,17,5,1
5239.04,20,5,1
3707.74,19,5,1
14460.89,17,5,1
12970.07,20,5,1
2957.03,20,5,1
2118.88,17,5,1
13808.18,17,5,1
10931.1,17,5,1
1082.89,20,5,1
1462.67,17,5,1
3081.82,17,5,1
3241.23,20,5,1
6232.31,19,5,1
7162.81,18,5,1
4067.43,18,5,1
12399.97,18,5,1
9140.36,20,5,1
2287.41,19,5,1
856.16,17,5,1
16553.44,17,5,1
15456.16,17,5,1
3868.85,19,5,1
13575.21,19,5,1
2635.08,17,5,1
7765.98,20,5,1
6927.16,19,5,1
1268.79,19,5,1
12082.49,17,5,1
11742.2,17,5,1
4170.28,20,4,1
8801.89,19,4,1
16484.79,19,4,1
1230.08,19,4,1
3369.67,18,4,1
10526.23,18,4,1
9944.32,18,4,1
11759.41,19,4,1
3065.34,18,4,1
5850.7,19,4,1
8565.51,17,4,1
3988.36,17,4,1
13670.08,16,4,1
8218.35,15,4,1
9137.74,15,4,1
8809.55,15,4,1
12792.89,14,4,1
7862.2,14,4,1
14254.89,20,4,1
12511.48,19,4,1
16913.65,18,4,1
7135.57,17,4,1
15596.29,17,4,1
7159.15,17,4,1
5794.33,16,4,1
8466.87,16,4,1
7015.08,16,4,1
7726.08,15,4,1
2873.86,14,4,1
10628.85,20,4,1
7420.14,19,4,1
6760.66,19,4,1
1379.53,18,4,1
12155.66,18,4,1
11929.25,18,4,1
12972.44,17,4,1
4621.03,17,4,1
1495.95,17,4,1
5028.83,17,4,1
7956.95,16,4,1
14134.61,16,4,1
7537.65,16,4,1
15369.85,15,4,1
8375.16,14,4,1
8327.96,14,4,1
11859.15,14,4,1
11816.33,20,4,1
1457.1,19,4,1
8742.76,16,4,1
12001.3,15,4,1
12278.28,14,4,1
15402.01,14,4,1
2179.91,20,4,1
7364.75,18,4,1
913.51,17,4,1
574.12,17,4,1
13352.98,17,4,1
1485.81,16,4,1
8951.29,14,4,1
11725.64,14,4,1
13327.91,14,4,1
9432.66,20,4,1
16904.18,19,4,1
4055.07,17,4,1
2140.39,17,4,1
11768.52,15,4,1
6539.32,15,4,1
13852.2,14,4,1
9550.62,14,4,1
16433.64,14,4,1
8751.79,19,4,1
3604.11,19,4,1
5825.83,19,4,1
11196.87,18,4,1
2345.33,17,4,1
11473.93,16,4,1
12311.46,16,4,1
1174.68,15,4,1
8924.08,15,4,1
12374.22,14,4,1
5389.04,19,4,1
